Pearlie Tuggle  ,3
Calista Gause  ,2
Billi Wahlstrom  ,2
Terry Bartell  ,1
Cleopatra Ferretti  ,5
Tawanna Navin  ,5
David Arispe  ,4
Tynisha Rew  ,5
Marcelene Goble  ,2
Leonardo Bernardino  ,5
Sharla Derr  ,2
Ivelisse Rickman  ,5
Lashanda Haggett  ,3
Piedad Fleischman  ,1
Elroy Knop  ,5
Apolonia Rosen  ,5
Merlin Tenaglia  ,3
Micheline Quattlebaum  ,4
Tomas Ellard  ,4
Carlie Gracey  ,3
Bridget Angles  ,3
Werner Reyer  ,1
Carri Sargent  ,1
Jesica Manno  ,4
Shantelle Kopec  ,3
Gemma Drozd  ,1
Mac Rendon  ,1
Mary Sellers  ,3
Particia Prejean  ,3
Lenora Griffin  ,4
Qiana Sato  ,3
Nga Halbrook  ,5
Sunshine Baltes  ,4
Camilla Nilsson  ,2
Mariann Nickell  ,1
Teresia Nobriga  ,4
Tabatha Mcclelland  ,4
Roselyn Northrup  ,1
Genaro Pallas  ,1
Takisha Shaver  ,5
Ocie Paetzold  ,4
Altha Desrochers  ,3
Shanta Oliphant  ,1
Chrissy Wible  ,5
Joyce Gabaldon  ,2
Tod Mccomas  ,1
Cheryle Picken  ,4
Albertina Baeza  ,5
Pennie Shireman  ,5
Granville Fann  ,2
